x-axis,1,2
second,Volt,Volt
-180.000E-09,-78.125000000E-03,+93.750000000E-03
-179.000E-09,-78.125000000E-03,+125.000000000E-03
-178.000E-09,-93.750000000E-03,+156.250000000E-03
-177.000E-09,-62.500000000E-03,+93.750000000E-03
-176.000E-09,-62.500000000E-03,+93.750000000E-03
-175.000E-09,-62.500000000E-03,+156.250000000E-03
-174.000E-09,-78.125000000E-03,+156.250000000E-03
-173.000E-09,-78.125000000E-03,+125.000000000E-03
-172.000E-09,-78.125000000E-03,+156.250000000E-03
-171.000E-09,-78.125000000E-03,+125.000000000E-03
-170.000E-09,-93.750000000E-03,+125.000000000E-03
-169.000E-09,-62.500000000E-03,+156.250000000E-03
-168.000E-09,-78.125000000E-03,+125.000000000E-03
-167.000E-09,-62.500000000E-03,+125.000000000E-03
-166.000E-09,-78.125000000E-03,+125.000000000E-03
-165.000E-09,-78.125000000E-03,+156.250000000E-03
-164.000E-09,-78.125000000E-03,+125.000000000E-03
-163.000E-09,-62.500000000E-03,+156.250000000E-03
-162.000E-09,-93.750000000E-03,+125.000000000E-03
-161.000E-09,-78.125000000E-03,+156.250000000E-03
-160.000E-09,-78.125000000E-03,+125.000000000E-03
-159.000E-09,-62.500000000E-03,+125.000000000E-03
-158.000E-09,-78.125000000E-03,+156.250000000E-03
-157.000E-09,-78.125000000E-03,+156.250000000E-03
-156.000E-09,-78.125000000E-03,+125.000000000E-03
-155.000E-09,-78.125000000E-03,+125.000000000E-03
-154.000E-09,-93.750000000E-03,+156.250000000E-03
-153.000E-09,-93.750000000E-03,+156.250000000E-03
-152.000E-09,-78.125000000E-03,+156.250000000E-03
-151.000E-09,-78.125000000E-03,+125.000000000E-03
-150.000E-09,-78.125000000E-03,+156.250000000E-03
-149.000E-09,-78.125000000E-03,+187.500000000E-03
-148.000E-09,-62.500000000E-03,+125.000000000E-03
-147.000E-09,-62.500000000E-03,+156.250000000E-03
-146.000E-09,-78.125000000E-03,+156.250000000E-03
-145.000E-09,-46.875000000E-03,+156.250000000E-03
-144.000E-09,-62.500000000E-03,+125.000000000E-03
-143.000E-09,-93.750000000E-03,+125.000000000E-03
-142.000E-09,-93.750000000E-03,+156.250000000E-03
-141.000E-09,-78.125000000E-03,+125.000000000E-03
-140.000E-09,-78.125000000E-03,+125.000000000E-03
-139.000E-09,-78.125000000E-03,+125.000000000E-03
-138.000E-09,-93.750000000E-03,+125.000000000E-03
-137.000E-09,-62.500000000E-03,+156.250000000E-03
-136.000E-09,-78.125000000E-03,+125.000000000E-03
